https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,-1,0.047444761,-1,0,-1,-1,-1,-1,-1,-1,-1,0.06777823,0.006777823,0.271112919,-1
-1,-1,0.006472492,-1,0,-1,-1,-1,-1,0,-1,1,0.020711974,0.001294498,0.260194175,-1
1,-1,0.022233339,-1,0,-1,-1,-1,-1,-1,-1,-1,0.088933356,0.005558335,0.350175088,-1
1,-1,0.022332645,-1,0,-1,-1,-1,-1,-1,-1,-1,0.089330579,0.005583161,0.351739155,-1
1,-1,0.022751834,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085319379,0.005687959,0.346965474,-1
-1,-1,0.030899961,-1,0,-1,-1,-1,-1,-1,-1,-1,0.069524913,0.00772499,0.247199691,-1
1,-1,0.034146341,1,0,-1,-1,-1,-1,-1,-1,-1,0.087804878,0.004878049,0.292682927,-1
1,-1,0.03137044,1,0,-1,-1,-1,-1,-1,-1,-1,0.080666846,0.004481491,0.277852469,-1
1,-1,0.031140175,1,0,-1,-1,-1,-1,-1,-1,-1,0.088971929,0.004448596,0.271364385,-1
1,-1,0.020260345,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086106468,0.005065086,0.3342957,-1
-1,1,0,1,0,-1,-1,-1,-1,-1,0,-1,0.002236586,0,0.156561025,-1
1,1,0.00237716,-1,0,-1,-1,-1,-1,-1,-1,-1,0.030903083,0,0.09984073,-1
1,1,0.01067065,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085365203,0.005335325,0.272101585,-1
1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0.087789306,0.007980846,0.255387071,-1
1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0.037195462,0.004649433,0.106936954,-1
-1,-1,0.008880364,-1,0,-1,-1,-1,-1,-1,-1,-1,0.078147201,0.001776073,0.227337312,-1
-1,-1,0.00780564,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085862035,0.00195141,0.249780466,-1
-1,-1,0.00780564,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085862035,0.00195141,0.249780466,-1
-1,-1,0.013215526,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083069023,0.001887932,0.241655339,-1
-1,-1,0.007847292,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086320209,0.001961823,0.251113335,-1
-1,-1,0.009845815,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086643168,0.001969163,0.252052852,-1
-1,-1,0.009845815,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086643168,0.001969163,0.252052852,-1
-1,-1,0.009440909,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083080002,0.001888182,0.241687279,-1
-1,-1,0.007194374,-1,0,-1,-1,-1,-1,-1,-1,-1,0.079138114,0.001798593,0.230219968,-1
-1,-1,0.008987471,-1,0,-1,-1,-1,-1,-1,-1,-1,0.079089749,0.001797494,0.230079269,-1
-1,-1,0.008987471,-1,0,-1,-1,-1,-1,-1,-1,-1,0.079089749,0.001797494,0.230079269,-1
1,-1,0.010076147,1,0,-1,-1,-1,-1,-1,-1,-1,0.06621468,0.00143945,0.190007341,-1
-1,-1,0.007230135,-1,0,-1,-1,-1,-1,-1,-1,-1,0.079531487,0.001807534,0.231364327,-1
-1,-1,0.009808153,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086311742,0.001961631,0.251088705,-1
-1,-1,0.003639871,-1,0,-1,-1,-1,-1,-1,-1,-1,0.080077165,0.001819936,0.232951754,-1
-1,-1,0.007853146,-1,0,-1,-1,-1,-1,1,-1,-1,0.086384608,0.001963287,0.251300677,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
1,-1,0.022172949,-1,0,-1,-1,-1,-1,-1,-1,-1,0.088691796,0.005543237,0.349223947,-1
-1,-1,0.009323357,-1,0,-1,-1,-1,-1,0,-1,1,0.030300911,0.002330839,0.435866956,-1
-1,-1,0.009323357,-1,0,-1,-1,-1,-1,0,-1,1,0.030300911,0.002330839,0.435866956,-1
-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0.051954799,0.00649435,0.168853098,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.00323656,-1,0,-1,-1,-1,-1,-1,-1,-1,0.035602162,0,0.116516167,-1
-1,-1,0.009159187,-1,0,-1,-1,-1,-1,-1,-1,1,0.029767357,0.002289797,0.25416743,-1
-1,-1,0.036513008,-1,0,-1,-1,-1,-1,-1,-1,-1,0.073026016,0.009128252,0.246462802,-1
-1,-1,0.056227158,-1,0,-1,-1,-1,-1,-1,-1,-1,0.042170368,0.014056789,0.365476525,-1
-1,-1,0.057110223,-1,0,-1,-1,-1,-1,-1,-1,-1,0.042832667,0.014277556,0.399771559,-1
-1,-1,0.043159258,-1,0,-1,-1,-1,-1,-1,-1,-1,0.043159258,0.014386419,0.402819738,-1
-1,-1,0.036673696,-1,0,-1,-1,-1,-1,-1,-1,-1,0.073347392,0.009168424,0.247547447,-1
-1,-1,0.055141991,-1,0,-1,-1,-1,-1,-1,-1,-1,0.041356493,0.013785498,0.41356493,-1
-1,-1,0.056569085,-1,0,-1,-1,-1,-1,-1,-1,-1,0.042426814,0.014142271,0.395983595,-1
-1,-1,0.005880047,-1,0,-1,-1,-1,-1,0,-1,1,0.025480204,0.001960016,0.370442964,-1
-1,-1,0.032120774,-1,0,-1,-1,-1,-1,-1,-1,-1,0.064241548,0.008030194,0.232875612,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.005732082,-1,0,-1,-1,-1,-1,0,-1,1,0.034392495,0.001910694,0.131837897,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
1,-1,0.02891845,-1,0,-1,-1,-1,-1,-1,-1,-1,0.08675535,0.00578369,0.35858878,-1
